Spanish Word,English Translation
de,of
la,the
que,what
el,he
en,in
y,and
a,a
los,the
se,with
del,of the
las,the
un,and
por,by
con,with
no,no
una,a
su,are
para,to
es,is
al,al
lo,it
como,as
más,further
pero,but
sus,their
le,the
ha,ha
me,me
si,and
sin,sin
sobre,on
este,it is
ya,of
entre,between
cuando,when
todo,all
esta,this
ser,to be
son,son
dos,of the
también,also
fue,was
había,there was
era,era
muy,very
años,years
hasta,until
desde,from
está,this
mi,me
porque,why
qué,that
sólo,only
han,he
yo,they
hay,nice
vez,time
puede,can
todos,all
así,So
nos,us
ni,in
parte,part
tiene,has
él,he
uno,a
donde,where
bien,GOOD
tiempo,time
mismo,same
ese,that
ahora,now
cada,each
vida,life
otro,other
después,after
te,the
otros,others
aunque,although
esa,that
eso,that
hace,does
otra,other
gobierno,government
tan,tan
durante,during
siempre,always
día,day
tanto,both
ella,she
tres,three
sí,Yeah
dijo,said
sido,been
gran,great
país,country
según,according to
menos,less
momento,moment
antes,before
